Date,Open,High,Low,Close,Adj Close,Volume
2023-05-01,8.090000,8.150000,7.960000,7.990000,7.599794,6839300
2023-05-02,7.920000,7.930000,7.670000,7.770000,7.390538,13811000
2023-05-03,7.620000,7.740000,7.600000,7.610000,7.238352,12237000
2023-05-04,7.520000,7.570000,7.360000,7.470000,7.105189,15739400
2023-05-05,7.630000,7.860000,7.610000,7.820000,7.438097,11865200
2023-05-08,7.860000,7.890000,7.800000,7.820000,7.438097,8444000
2023-05-09,7.710000,7.800000,7.700000,7.770000,7.390538,10435500
2023-05-10,7.790000,7.800000,7.650000,7.750000,7.371515,11065500
2023-05-11,7.590000,7.700000,7.550000,7.680000,7.304934,8929200
2023-05-12,7.740000,7.750000,7.640000,7.660000,7.285910,7212900
2023-05-15,7.700000,7.880000,7.680000,7.830000,7.447608,8743600
2023-05-16,7.760000,7.800000,7.650000,7.650000,7.276399,8304800
2023-05-17,7.750000,7.950000,7.710000,7.920000,7.533213,9754300
2023-05-18,7.880000,7.920000,7.820000,7.920000,7.533213,8721800
2023-05-19,7.940000,8.010000,7.920000,7.990000,7.599794,7782400
2023-05-22,7.980000,8.020000,7.910000,8.010000,7.618818,8819500
2023-05-23,8.060000,8.170000,8.040000,8.040000,7.647352,8455500
2023-05-24,7.910000,7.920000,7.820000,7.840000,7.457120,8015800
2023-05-25,7.790000,7.840000,7.730000,7.780000,7.400050,6726100
2023-05-26,7.760000,7.830000,7.730000,7.810000,7.428585,8105000
2023-05-30,7.800000,7.830000,7.690000,7.760000,7.381027,8754200
2023-05-31,7.580000,7.590000,7.440000,7.520000,7.152748,9618400
2023-06-01,7.590000,7.690000,7.570000,7.650000,7.276399,5900500
2023-06-02,7.770000,7.900000,7.760000,7.860000,7.476143,8384500
2023-06-05,7.820000,7.820000,7.680000,7.750000,7.371515,7892200
2023-06-06,7.750000,7.930000,7.730000,7.910000,7.523701,9354600
2023-06-07,7.900000,7.960000,7.860000,7.930000,7.542724,9780600
2023-06-08,7.950000,7.970000,7.890000,7.950000,7.561748,7243400
2023-06-09,7.880000,7.910000,7.850000,7.880000,7.495166,6612600
2023-06-12,7.860000,7.890000,7.740000,7.810000,7.428585,10200000
2023-06-13,7.820000,7.970000,7.810000,7.950000,7.561748,8970800
2023-06-14,8.020000,8.080000,7.950000,7.970000,7.580770,10628100
2023-06-15,7.860000,7.930000,7.850000,7.920000,7.533213,8073500
2023-06-16,7.940000,7.970000,7.890000,7.930000,7.542724,8804700
2023-06-20,7.970000,7.970000,7.880000,7.930000,7.542724,6077700
2023-06-21,7.780000,7.820000,7.720000,7.720000,7.342980,8864400
2023-06-22,7.590000,7.610000,7.520000,7.520000,7.152748,9205500
2023-06-23,7.400000,7.440000,7.380000,7.410000,7.048120,6579000
2023-06-26,7.360000,7.440000,7.360000,7.370000,7.010073,6561000
2023-06-27,7.440000,7.500000,7.380000,7.490000,7.124212,5712000
2023-06-28,7.510000,7.560000,7.480000,7.530000,7.162259,6467800
2023-06-29,7.590000,7.680000,7.580000,7.670000,7.295422,4662300
2023-06-30,7.840000,7.880000,7.810000,7.860000,7.476143,8613300
2023-07-03,7.890000,8.000000,7.880000,7.970000,7.580770,5650000
2023-07-05,7.730000,7.740000,7.620000,7.630000,7.257376,8269400
2023-07-06,7.530000,7.550000,7.450000,7.540000,7.171771,9317900
2023-07-07,7.540000,7.710000,7.540000,7.670000,7.295422,8791000
2023-07-10,7.620000,7.690000,7.610000,7.650000,7.276399,10923200
2023-07-11,7.730000,7.840000,7.710000,7.820000,7.438097,10699600
2023-07-12,8.010000,8.140000,8.010000,8.090000,7.694911,11293900
2023-07-13,8.180000,8.280000,8.170000,8.260000,7.856609,11111400
2023-07-14,8.300000,8.300000,8.160000,8.160000,7.761492,11290200
2023-07-17,8.200000,8.270000,8.170000,8.220000,7.818562,6069400
2023-07-18,8.200000,8.410000,8.200000,8.400000,7.989771,7267000
2023-07-19,8.500000,8.580000,8.460000,8.550000,8.132446,8002200
2023-07-20,8.550000,8.600000,8.490000,8.520000,8.103911,9159200
2023-07-21,8.490000,8.500000,8.410000,8.440000,8.027817,8661100
2023-07-24,8.410000,8.530000,8.410000,8.480000,8.065864,7547300
2023-07-25,8.470000,8.500000,8.400000,8.420000,8.008795,6716900
2023-07-26,8.400000,8.630000,8.390000,8.600000,8.180004,8442500
2023-07-27,8.180000,8.190000,7.830000,7.840000,7.457120,18376300
2023-07-28,7.990000,8.040000,7.960000,8.000000,7.609306,8010500
2023-07-31,8.000000,8.070000,7.960000,7.990000,7.599794,7227300
2023-08-01,7.860000,7.880000,7.730000,7.790000,7.409561,7753500
2023-08-02,7.570000,7.590000,7.450000,7.490000,7.124212,9257700
2023-08-03,7.580000,7.670000,7.540000,7.650000,7.276399,9094400
2023-08-04,7.650000,7.790000,7.650000,7.710000,7.333468,10566300
2023-08-07,7.770000,7.800000,7.710000,7.770000,7.390538,8926100
2023-08-08,7.560000,7.620000,7.460000,7.610000,7.238352,10683800
2023-08-09,7.640000,7.710000,7.560000,7.580000,7.209817,12273100
2023-08-10,7.560000,7.640000,7.480000,7.500000,7.267961,10434500
2023-08-11,7.470000,7.550000,7.440000,7.510000,7.277652,10930300
2023-08-14,7.420000,7.490000,7.370000,7.480000,7.248580,8412800
2023-08-15,7.410000,7.430000,7.300000,7.320000,7.093530,13975600
2023-08-16,7.380000,7.450000,7.380000,7.390000,7.161364,9997300
2023-08-17,7.440000,7.480000,7.380000,7.410000,7.180745,8508700
2023-08-18,7.330000,7.400000,7.320000,7.360000,7.132292,8974300
2023-08-21,7.410000,7.420000,7.340000,7.390000,7.161364,7551000
