Date,Open,High,Low,Close,Adj Close,Volume
2023-05-01,22.690001,23.290001,22.690001,23.020000,22.799831,519500
2023-05-02,22.850000,23.150000,22.209999,23.139999,22.918682,574500
2023-05-03,23.190001,23.389999,22.719999,22.910000,22.690884,516900
2023-05-04,22.730000,22.730000,22.059999,22.240000,22.027292,361000
2023-05-05,22.680000,23.180000,22.670000,22.959999,22.740404,378100
2023-05-08,23.180000,23.330000,22.320000,22.389999,22.175858,436200
2023-05-09,22.139999,22.440001,21.920000,22.200001,21.987675,363400
2023-05-10,22.780001,22.799999,22.139999,22.370001,22.156050,358400
2023-05-11,22.290001,22.790001,22.110001,22.740000,22.522509,310500
2023-05-12,22.860001,22.940001,22.360001,22.809999,22.591837,327000
2023-05-15,22.950001,23.389999,22.730000,23.120001,22.898876,313200
2023-05-16,22.820000,23.200001,22.260000,22.889999,22.671074,540000
2023-05-17,22.870001,23.490000,22.770000,23.410000,23.186100,462300
2023-05-18,23.290001,23.639999,22.840000,23.410000,23.186100,490400
2023-05-19,22.879999,22.930000,21.230000,21.510000,21.304274,643000
2023-05-22,21.580000,21.650000,20.780001,20.850000,20.650585,644900
2023-05-23,20.920000,21.389999,20.750000,20.750000,20.551542,375300
2023-05-24,21.139999,21.680000,20.080000,20.270000,20.076132,543000
2023-05-25,19.340000,19.559999,18.219999,18.510000,18.332964,985100
2023-05-26,18.379999,18.700001,18.100000,18.299999,18.124973,741600
2023-05-30,18.299999,18.340000,17.660000,17.900000,17.728800,615800
2023-05-31,17.930000,18.299999,17.209999,17.260000,17.094921,883300
2023-06-01,17.309999,18.360001,16.850000,17.840000,17.669376,880900
2023-06-02,18.070000,19.290001,17.990000,19.219999,19.036175,854500
2023-06-05,18.920000,19.799999,18.879999,19.510000,19.323402,865900
2023-06-06,19.450001,21.280001,19.400000,21.260000,21.056664,745300
2023-06-07,21.610001,22.889999,21.520000,22.730000,22.512606,863500
2023-06-08,22.730000,23.280001,22.389999,23.190001,23.039158,683000
2023-06-09,23.400000,23.860001,22.900000,23.830000,23.674994,733600
2023-06-12,23.780001,24.830000,23.730000,24.450001,24.290962,744800
2023-06-13,24.510000,25.350000,24.400000,25.150000,24.986408,736800
2023-06-14,25.450001,25.950001,24.790001,24.980000,24.817514,820600
2023-06-15,24.870001,25.180000,24.450001,24.830000,24.668489,682700
2023-06-16,25.160000,25.160000,24.200001,24.680000,24.519466,892200
2023-06-20,24.620001,24.860001,24.260000,24.430000,24.271091,432300
2023-06-21,24.450001,25.260000,24.350000,25.040001,24.877125,487500
2023-06-22,24.879999,25.040001,24.510000,24.850000,24.688360,433600
2023-06-23,24.620001,25.049999,24.170000,24.190001,24.032652,1812100
2023-06-26,24.139999,24.719999,24.049999,24.240000,24.082329,524800
2023-06-27,24.059999,24.330000,23.920000,24.049999,23.893564,801700
2023-06-28,24.070000,24.080000,23.080000,23.510000,23.357075,480900
2023-06-29,23.500000,24.650000,23.500000,24.309999,24.151871,470000
2023-06-30,24.420000,24.500000,23.660000,23.930000,23.774343,513800
2023-07-03,23.900000,24.920000,23.900000,24.670000,24.509531,323300
2023-07-05,24.420000,24.469999,23.889999,24.080000,23.923368,502100
2023-07-06,23.840000,24.180000,23.420000,23.570000,23.416685,461100
2023-07-07,23.610001,24.280001,23.559999,24.139999,23.982977,515100
2023-07-10,24.059999,24.969999,23.990000,24.910000,24.747971,520800
2023-07-11,25.000000,25.700001,24.850000,25.680000,25.512960,628900
2023-07-12,26.209999,26.500000,25.700001,25.750000,25.582504,706800
2023-07-13,25.690001,25.690001,24.820000,25.370001,25.204979,395400
2023-07-14,25.299999,25.580000,24.570000,25.559999,25.393742,383900
2023-07-17,25.549999,26.270000,25.190001,25.980000,25.811008,388600
2023-07-18,25.990000,26.820000,25.770000,26.799999,26.625673,411100
2023-07-19,26.920000,27.190001,26.500000,26.830000,26.655481,354000
2023-07-20,26.750000,26.889999,26.100000,26.600000,26.426979,301100
2023-07-21,26.860001,26.860001,25.920000,26.350000,26.178602,338800
2023-07-24,26.430000,27.080000,26.270000,26.600000,26.426979,383900
2023-07-25,26.270000,27.080000,26.129999,26.860001,26.685286,403000
2023-07-26,26.809999,27.600000,26.809999,26.980000,26.804504,487800
