Date,Open,High,Low,Close,Adj Close,Volume

2023-05-01,157.679993,158.750000,156.339996,157.119995,152.024399,1964500
2023-05-02,156.550003,156.800003,153.570007,155.720001,150.669830,2277400
2023-05-03,155.320007,158.619995,154.339996,154.570007,149.557114,2385700
2023-05-04,154.179993,154.500000,150.869995,152.529999,147.583282,2653600
2023-05-05,154.490005,157.770004,154.169998,156.300003,151.231018,2186900
2023-05-08,156.479996,157.789993,155.649994,156.500000,151.424500,1495200
2023-05-09,155.699997,157.860001,155.419998,157.419998,152.314682,1886000
2023-05-10,158.179993,159.300003,155.020004,157.729996,152.614639,2804800
2023-05-11,157.380005,159.309998,156.539993,158.869995,153.717651,2832000
2023-05-12,157.800003,159.300003,156.029999,157.990005,152.866211,3361600
2023-05-15,157.970001,160.789993,157.399994,160.570007,155.362534,4055200
2023-05-16,157.380005,160.850006,154.699997,156.910004,152.849304,5805900
2023-05-17,155.800003,162.839996,155.119995,160.960007,156.794479,8387700
2023-05-18,160.869995,161.619995,153.250000,154.179993,150.189926,7881600
2023-05-19,154.899994,155.270004,150.929993,152.279999,148.339127,4454700
2023-05-22,151.000000,152.740005,149.770004,151.910004,147.978699,3717000
2023-05-23,150.330002,151.330002,146.940002,147.160004,143.351624,4374100
2023-05-24,145.800003,145.889999,142.130005,143.100006,139.396698,6738300
2023-05-25,142.179993,142.199997,138.649994,140.750000,137.107498,7409500
2023-05-26,140.309998,140.479996,137.210007,138.929993,135.334579,8100400
2023-05-30,138.220001,138.889999,133.580002,133.839996,130.376328,10931900
2023-05-31,134.240005,135.259995,130.630005,130.929993,127.541634,20234400
2023-06-01,128.600006,132.029999,126.750000,131.160004,127.765678,13678400
2023-06-02,131.240005,133.279999,130.559998,133.220001,129.772369,7589100
2023-06-05,131.669998,132.509995,129.720001,130.600006,127.220177,7702900
2023-06-06,130.100006,132.960007,129.929993,132.699997,129.265823,6065200
2023-06-07,132.029999,132.309998,131.009995,131.750000,128.340408,5504400
2023-06-08,131.500000,132.770004,130.220001,131.270004,127.872841,6162000
2023-06-09,129.500000,130.600006,126.949997,126.989998,123.703590,9386000
2023-06-12,127.300003,127.389999,125.080002,126.480003,123.206802,8248400
2023-06-13,127.500000,129.399994,126.739998,128.720001,125.388824,6916300
2023-06-14,129.199997,134.529999,127.930000,133.229996,129.782120,14968700
2023-06-15,135.110001,138.080002,134.600006,137.839996,134.272812,10063100
2023-06-16,138.059998,138.059998,133.639999,133.809998,130.347092,9895800
2023-06-20,133.119995,133.289993,131.419998,132.720001,129.285324,5355200
2023-06-21,132.360001,133.979996,131.330002,133.220001,129.772369,3845500
2023-06-22,133.440002,133.759995,131.429993,132.389999,128.963852,4620600
2023-06-23,131.009995,132.410004,130.320007,131.830002,128.418350,6973100
2023-06-26,132.350006,135.460007,132.339996,134.500000,131.019257,4831100
2023-06-27,133.199997,134.839996,132.410004,132.509995,129.080750,6047600
2023-06-28,132.699997,133.380005,131.880005,132.470001,129.041779,4601900
2023-06-29,132.479996,134.059998,131.770004,132.910004,129.470398,6055200
2023-06-30,133.809998,133.850006,131.130005,131.899994,128.486526,7312200
2023-07-03,131.589996,135.320007,131.589996,134.860001,131.369934,4134600
2023-07-05,134.240005,134.490005,132.490005,132.550003,129.119720,5186900
2023-07-06,131.880005,132.970001,130.429993,130.839996,127.453964,4882300
2023-07-07,130.500000,132.220001,129.860001,130.050003,126.684410,4251100
2023-07-10,130.279999,131.860001,130.279999,131.740005,128.330688,3831300
2023-07-11,132.039993,134.300003,131.369995,133.389999,129.937973,4094900
2023-07-12,134.850006,135.410004,132.839996,132.910004,129.470398,3758300
2023-07-13,133.369995,134.300003,132.690002,132.820007,129.382736,3077400
2023-07-14,132.089996,132.679993,130.660004,130.919998,127.531891,4119500
2023-07-17,130.800003,130.830002,128.550003,130.009995,126.645439,4731500
